ISSUER_NAME,ISSUER_TICKER,ISSUER_ISIN,ISSUER_CNTRY_DOMICILE,AS_OF_DATE,IVA_INDUSTRY,INDUSTRY_ADJUSTED_SCORE,WEIGHTED_AVERAGE_SCORE,ENVIRONMENTAL_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,CLIMATE_CHANGE_THEME_SCORE,NATURAL_RES_USE_THEME_SCORE,WASTE_MGMT_THEME_SCORE,HUMAN_CAPITAL_THEME_SCORE,PRODUCT_SAFETY_THEME_SCORE,CORPORATE_GOV_THEME_SCORE,BUSINESS_ETHICS_THEME_SCORE,CARBON_EMISSIONS_SCORE,CARBON_EMISSIONS_EXP_SCORE,ENERGY_EFFICIENCY_EXP_SCORE,PROD_CARB_FTPRNT_EXP_SCORE,WATER_STRESS_SCORE,WATER_STRESS_EXP_SCORE,WATER_STRESS_MGMT_SCORE,BIODIV_LAND_USE_EXP_SCORE,TOXIC_EMISS_WSTE_EXP_SCORE,OPPS_CLN_TECH_EXP_SCORE,LABOR_MGMT_SCORE,LABOR_MGMT_WEIGHT,LABOR_MGMT_EXP_SCORE,LABOR_MGMT_MGMT_SCORE,HLTH_SAFETY_WEIGHT,HLTH_SAFETY_EXP_SCORE,HUMAN_CAPITAL_DEV_EXP_SCORE,HUMAN_CAPITAL_DEV_MGMT_SCORE,PROD_SFTY_QUALITY_EXP_SCORE,CHEM_SAFETY_EXP_SCORE,PRIVACY_DATA_SEC_SCORE,PRIVACY_DATA_SEC_EXP_SCORE,PRIVACY_DATA_SEC_MGMT_SCORE,CORP_GOVERNANCE_SCORE,CORRUPTION_INST_SCORE,CORRUPTION_INST_EXP_SCORE,CORRUPTION_INST_MGMT_SCORE,BUS_ETHICS_FRAUD_SCORE,BUS_ETHICS_FRAUD_MGMT_SCORE,ANTICOMP_PRACT_SCORE,ANTICOMP_PRACT_MGMT_SCORE,ACCOUNTING_PCTL_GLOBAL,ACCOUNTING_PCTL_HOME,BOARD_PCTL_GLOBAL,BOARD_PCTL_HOME,CORP_GOVERNANCE_QUARTILE,GOVERNANCE_PCTL_GLOBAL,GOVERNANCE_PCTL_HOME,OWNERSHIP_PCTL_GLOBAL,OWNERSHIP_PCTL_HOME,PAY_PCTL_GLOBAL,PAY_PCTL_HOME
THE ROYAL BANK OF SCOTLAND GROUP PUBLIC LIMITED COMPANY,RBS,GB00B7T77214,GB,20180401,Banks,4.2,4.7,6.9,4.5,4.6,6.9,9.00,10.00,6.00,3.80,8.2,0.60,10,0.8,0.4,0.6,9.00,2.2,4.20,0.6,1.3,0,7.70,0.00,8.10,8.80,0,0.4,8.10,7.10,5.6,0,3.40,9.90,6.30,8.2,9.00,5.10,7.10,2.50,2.50,5.00,5.00,72,90,86,65,1,96,78,99,97,58,26
THE ROYAL BANK OF SCOTLAND PUBLIC LIMITED COMPANY,RBS,NL0009360742,GB,20180401,Banks,4.2,4.7,6.9,4.5,4.6,6.9,9.00,10.00,6.00,3.80,8.2,0.60,10,0.8,0.4,0.6,9.00,2.2,4.20,0.6,1.3,0,7.70,0.00,8.10,8.80,0,0.4,8.10,7.10,5.6,0,3.40,9.90,6.30,8.2,9.00,5.10,7.10,2.50,2.50,5.00,5.00,72,90,86,65,1,96,78,99,97,58,26
Commonwealth Bank of Australia (London Branch),,XS1602281997,GB,20180401,Banks,7.7,5.5,8.6,4.5,6.5,8.6,6.80,10.00,4.60,4.00,7.4,5.40,10,1,0.4,0.7,6.80,2.3,2.10,0.8,1.2,0,4.50,0.00,7.60,5.10,0,0.4,7.00,4.60,5.9,0,5.10,8.10,6.20,7.4,10.00,4.70,8.80,3.70,3.70,5.00,5.00,5,3,97,90,1,86,40,78,40,58,43
BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,BT,XS0110081782,GB,20180401,Integrated Telecommunication Services,8.2,5.8,10,6.3,4.8,10,9.60,10.00,5.60,5.80,5.9,4.10,10,2.4,1,1.9,10.00,2.6,5.70,1.2,1.7,0,5.60,17.00,9.60,8.20,0,1.2,7.20,7.50,6.4,0,5.80,9.70,8.50,5.9,4.30,7.20,4.50,4.20,4.20,3.70,3.70,3,3,55,23,2,52,7,99,97,38,5
RBS CAPITAL TRUST II,,US74927PAA75,GB,20180401,Banks,4.2,4.7,6.9,4.5,4.6,6.9,9.00,10.00,6.00,3.80,8.2,0.60,10,0.8,0.4,0.6,9.00,2.2,4.20,0.6,1.3,0,7.70,0.00,8.10,8.80,0,0.4,8.10,7.10,5.6,0,3.40,9.90,6.30,8.2,9.00,5.10,7.10,2.50,2.50,5.00,5.00,72,90,86,65,1,96,78,99,97,58,26
ASB Finance Ltd,,XS0985215184,GB,20180401,Banks,7.7,5.5,8.6,4.5,6.5,8.6,6.80,10.00,4.60,4.00,7.4,5.40,10,1,0.4,0.7,6.80,2.3,2.10,0.8,1.2,0,4.50,0.00,7.60,5.10,0,0.4,7.00,4.60,5.9,0,5.10,8.10,6.20,7.4,10.00,4.70,8.80,3.70,3.70,5.00,5.00,5,3,97,90,1,86,40,78,40,58,43
EE FINANCE PLC,EELTD,XS0811603090,GB,20180401,Wireless Telecommunication Services,8.2,5.8,10,6.3,4.8,10,9.60,10.00,5.60,5.80,5.9,4.10,10,2.4,1,1.9,10.00,2.6,5.70,1.2,1.7,0,5.60,17.00,9.60,8.20,0,1.2,7.20,7.50,6.4,0,5.80,9.70,8.50,5.9,4.30,7.20,4.50,4.20,4.20,3.70,3.70,3,3,55,23,2,52,7,99,97,38,5
THE ROYAL BANK OF SCOTLAND N.V.,,XS0637965814,GB,20180401,Banks,4.2,4.7,6.9,4.5,4.6,6.9,9.00,10.00,6.00,3.80,8.2,0.60,10,0.8,0.4,0.6,9.00,2.2,4.20,0.6,1.3,0,7.70,0.00,8.10,8.80,0,0.4,8.10,7.10,5.6,0,3.40,9.90,6.30,8.2,9.00,5.10,7.10,2.50,2.50,5.00,5.00,72,90,86,65,1,96,78,99,97,58,26
BT GROUP PLC,BT.A,GB0030913577,GB,20180501,Integrated Telecommunication Services,8.2,5.9,10,6.3,4.9,10,10.00,10.00,5.60,5.80,5.7,4.40,10,2.4,1,1.9,10.00,2.6,5.70,1.2,1.7,0,5.60,17.00,9.60,8.20,0,1.2,7.20,7.50,6.4,0,5.80,9.70,8.50,5.7,4.30,7.20,4.50,4.20,4.20,4.60,4.60,4,3,55,22,2,50,6,99,97,32,2
BARRATT DEVELOPMENTS PLC,BDEV,GB0000811801,GB,20180501,Real Estate Development & Diversified Activities,8.6,6.7,6.4,7,6.6,10,6.90,10.00,9.00,4.60,7.3,6.10,10,2.9,2.4,4,7.20,4.6,4.80,2.2,3.7,3.6,9.40,0.00,6.40,8.80,23,3.9,6.10,5.00,6,5,6.70,0.00,1.70,7.3,6.10,6.70,5.80,5.00,5.00,5.00,5.00,84,85,56,23,1,85,36,79,38,81,56
AVIVA PLC,AV.,GB0002162385,GB,20180501,Multi-Line Insurance & Brokerage,8,6.6,10,5.8,6.9,10,10.00,10.00,5.20,6.10,8.5,5.10,10,0.7,0.1,0.6,10.00,1.3,6.60,0.7,1.6,0,7.40,0.00,6.90,7.30,0,0.3,8.70,6.90,5.9,0,2.20,9.80,5.00,8.5,9.20,5.30,7.50,4.20,4.20,5.00,5.00,100,100,99,95,1,99,92,79,38,58,28
ORANGE PARTICIPATIONS UK LIMITED,JAZTF,GB00B5TMSP21,GB,20180501,Integrated Telecommunication Services,10,6.6,10,6,6.9,10,6.30,8.30,5.70,5.10,6.2,7.50,10,2.2,1,2.1,6.90,2.4,2.30,1.3,1.8,0.3,5.70,18.00,10.00,8.70,0,1.6,7.20,7.90,6.4,0.5,5.10,9.40,7.50,6.2,7.50,7.40,7.90,4.20,4.20,4.20,4.20,34,37,59,59,2,60,51,47,33,64,51
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY,,GB0006227051,GB,20180501,Banks,4.2,4.7,6.9,4.5,4.6,6.9,9.00,10.00,6.00,3.80,8.2,0.60,10,0.8,0.4,0.6,9.00,2.2,4.20,0.6,1.3,0,7.70,0.00,8.10,8.80,0,0.4,8.10,7.10,5.7,0,3.40,9.90,6.30,8.2,9.00,5.10,7.10,2.50,2.50,5.00,5.00,88,90,86,64,1,97,77,99,97,58,28
THE ROYAL BANK OF SCOTLAND GROUP PUBLIC LIMITED COMPANY,RBS,GB00B7T77214,GB,20180501,Banks,4.2,4.7,6.9,4.5,4.6,6.9,9.00,10.00,6.00,3.80,8.2,0.60,10,0.8,0.4,0.6,9.00,2.2,4.20,0.6,1.3,0,7.70,0.00,8.10,8.80,0,0.4,8.10,7.10,5.7,0,3.40,9.90,6.30,8.2,9.00,5.10,7.10,2.50,2.50,5.00,5.00,88,90,86,64,1,97,77,99,97,58,28
GENERAL ACCIDENT PLC,,GB0003692513,GB,20180501,Multi-Line Insurance & Brokerage,8,6.6,10,5.8,6.9,10,10.00,10.00,5.20,6.10,8.5,5.10,10,0.7,0.1,0.6,10.00,1.3,6.60,0.7,1.6,0,7.40,0.00,6.90,7.30,0,0.3,8.70,6.90,5.9,0,2.20,9.80,5.00,8.5,9.20,5.30,7.50,4.20,4.20,5.00,5.00,100,100,99,95,1,99,92,79,38,58,28
THE ROYAL BANK OF SCOTLAND PUBLIC LIMITED COMPANY,RBS,NL0009360742,GB,20180501,Banks,4.2,4.7,6.9,4.5,4.6,6.9,9.00,10.00,6.00,3.80,8.2,0.60,10,0.8,0.4,0.6,9.00,2.2,4.20,0.6,1.3,0,7.70,0.00,8.10,8.80,0,0.4,8.10,7.10,5.7,0,3.40,9.90,6.30,8.2,9.00,5.10,7.10,2.50,2.50,5.00,5.00,88,90,86,64,1,97,77,99,97,58,28
COMMONWEALTH BANK OF AUSTRALIA,,XS1767083105,GB,20180501,Banks,7.7,5.5,8.6,4.5,6.6,8.6,6.80,10.00,4.60,4.00,7.6,5.40,10,1,0.4,0.7,6.80,2.3,2.10,0.8,1.2,0,4.50,0.00,7.60,5.10,0,0.4,7.00,4.60,5.9,0,5.10,8.10,6.20,7.6,10.00,4.70,8.80,3.70,3.70,5.00,5.00,7,3,97,90,1,90,50,79,41,81,73
BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,BT,XS0110081782,GB,20180501,Integrated Telecommunication Services,8.2,5.9,10,6.3,4.9,10,10.00,10.00,5.60,5.80,5.7,4.40,10,2.4,1,1.9,10.00,2.6,5.70,1.2,1.7,0,5.60,17.00,9.60,8.20,0,1.2,7.20,7.50,6.4,0,5.80,9.70,8.50,5.7,4.30,7.20,4.50,4.20,4.20,4.60,4.60,4,3,55,22,2,50,6,99,97,32,2
RBS CAPITAL TRUST II,,US74927PAA75,GB,20180501,Banks,4.2,4.7,6.9,4.5,4.6,6.9,9.00,10.00,6.00,3.80,8.2,0.60,10,0.8,0.4,0.6,9.00,2.2,4.20,0.6,1.3,0,7.70,0.00,8.10,8.80,0,0.4,8.10,7.10,5.7,0,3.40,9.90,6.30,8.2,9.00,5.10,7.10,2.50,2.50,5.00,5.00,88,90,86,64,1,97,77,99,97,58,28
ASB FINANCE LIMITED - LONDON BRANCH,,XS0985215184,GB,20180501,Banks,7.7,5.5,8.6,4.5,6.6,8.6,6.80,10.00,4.60,4.00,7.6,5.40,10,1,0.4,0.7,6.80,2.3,2.10,0.8,1.2,0,4.50,0.00,7.60,5.10,0,0.4,7.00,4.60,5.9,0,5.10,8.10,6.20,7.6,10.00,4.70,8.80,3.70,3.70,5.00,5.00,7,3,97,90,1,90,50,79,41,81,73
FRIENDS LIFE HOLDINGS PLC,,XS0851688860,GB,20180501,Multi-Line Insurance & Brokerage,8,6.6,10,5.8,6.9,10,10.00,10.00,5.20,6.10,8.5,5.10,10,0.7,0.1,0.6,10.00,1.3,6.60,0.7,1.6,0,7.40,0.00,6.90,7.30,0,0.3,8.70,6.90,5.9,0,2.20,9.80,5.00,8.5,9.20,5.30,7.50,4.20,4.20,5.00,5.00,100,100,99,95,1,99,92,79,38,58,28
EE FINANCE PLC,BT,XS0811603090,GB,20180501,Wireless Telecommunication Services,8.2,5.9,10,6.3,4.9,10,10.00,10.00,5.60,5.80,5.7,4.40,10,2.4,1,1.9,10.00,2.6,5.70,1.2,1.7,0,5.60,17.00,9.60,8.20,0,1.2,7.20,7.50,6.4,0,5.80,9.70,8.50,5.7,4.30,7.20,4.50,4.20,4.20,4.60,4.60,4,3,55,22,2,50,6,99,97,32,2
THUS GROUP LIMITED,,US8862861031,GB,20180601,Integrated Telecommunication Services,8.3,6,9.5,6.2,5.5,9.5,7.90,10.00,3.60,6.40,6.9,4.80,9.5,2.3,1,1.9,8.20,2.6,3.80,1.2,1.7,0,3.60,15.00,10.00,6.60,0,1.6,7.20,7.00,6.4,0,6.40,9.40,8.80,6.9,6.30,7.30,6.60,2.50,2.50,3.70,3.70,12,10,77,49,1,78,23,78,37,56,25
VODAFONE GROUP PUBLIC LIMITED COMPANY,VOD,GB00BH4HKS39,GB,20180601,Wireless Telecommunication Services,8.3,6,9.5,6.2,5.5,9.5,7.90,10.00,3.60,6.40,6.9,4.80,9.5,2.3,1,1.9,8.20,2.6,3.80,1.2,1.7,0,3.60,15.00,10.00,6.60,0,1.6,7.20,7.00,6.4,0,6.40,9.40,8.80,6.9,6.30,7.30,6.60,2.50,2.50,3.70,3.70,12,10,77,49,1,78,23,78,37,56,25
BARRATT DEVELOPMENTS PLC,BDEV,GB0000811801,GB,20180801,Real Estate Development & Diversified Activities,8.6,6.7,6.4,7,6.6,10,6.90,10.00,9.00,4.60,7.3,6.10,10,2.9,2.4,4,7.20,4.6,4.80,2.2,3.7,3.6,9.40,0.00,6.40,8.80,23,3.9,6.10,5.00,6,5,6.70,0.00,1.70,7.3,6.10,6.70,5.80,5.00,5.00,5.00,5.00,57,52,54,21,1,83,30,79,36,93,85
ASTRAZENECA PLC,AZN,GB0009895292,GB,20180801,Pharmaceuticals,8.4,5.3,5.5,4.8,5.9,10,7.20,5.50,4.90,4.00,6.3,5.50,10,2.2,1.1,2.4,7.20,3.8,4.00,3.3,6.3,0,5.30,0.00,7.60,5.90,0,1.2,9.40,7.30,9.8,6.3,8.90,3.10,5.00,6.3,5.50,8.30,6.80,3.70,3.70,4.20,4.20,28,24,72,41,1,63,11,79,36,28,1
GLAXOSMITHKLINE PLC,GSK,GB0009252882,GB,20180801,Pharmaceuticals,5.7,4.6,6.4,3.7,5.2,10,10.00,6.40,3.00,2.00,8.5,2.40,10,2.1,1.2,2.7,10.00,3.7,6.80,2.7,4.8,0.9,5.30,0.00,7.60,5.90,0,1.4,9.00,5.00,9.3,5,10.00,2.30,5.80,8.5,2.40,8.20,3.60,4.60,4.60,3.70,3.70,47,45,99,97,1,99,92,79,36,93,85
INVESTEC PLC,INVP,GB00B17BBQ50,GB,20180801,Investment Banking & Brokerage,8.9,7,7.3,6.5,7.3,7.3,6.60,10.00,5.90,7.30,7.6,7.00,10,1.1,0.3,0.8,7.60,2.2,2.80,0.7,0.7,0,9.10,0.00,4.60,6.70,0,0.3,9.00,7.90,4.4,0,4.10,7.90,5.00,7.6,8.80,6.10,7.90,4.20,4.20,5.00,5.00,92,93,55,21,1,88,40,99,97,60,25
SMITH & NEPHEW PLC,SN.,GB0009223206,GB,20180801,Health Care Equipment & Supplies,4.6,5.1,10,4.3,5.6,10,7.80,7.80,4.60,4.40,6.9,4.50,10,2.4,1.1,3,7.80,3.7,4.50,2.7,5.4,0,3.70,0.00,7.60,4.30,0,3,6.60,4.20,6.6,8.9,3.90,3.10,0.00,6.9,4.50,8.40,5.90,5.00,5.00,5.00,5.00,62,59,84,57,1,77,21,79,36,41,11
TAYLOR WIMPEY PLC,TW.,GB0008782301,GB,20180801,Real Estate Development & Diversified Activities,8.4,6.7,6,7,6.7,10,7.10,10.00,8.30,5.40,7.7,5.90,10,2.8,2.4,4.1,7.10,4.6,4.70,2.3,3.7,3.6,8.30,0.00,6.40,7.70,23,4,6.10,5.00,5.9,5.1,10.00,0.00,5.00,7.7,5.90,6.70,5.60,5.00,5.00,5.00,5.00,71,76,77,47,1,90,47,79,36,76,44
THE BERKELEY GROUP HOLDINGS PLC,BKG,GB00B02L3W35,GB,20180801,Real Estate Development & Diversified Activities,8.9,7,7.1,7.3,6.5,10,5.60,7.10,10.00,4.10,5.9,7.00,10,2.9,2.4,4.1,5.80,4.6,3.40,2.2,3.7,3.6,5.30,0.00,5.90,4.20,23,3.9,6.10,2.50,5.6,5.1,10.00,0.00,8.30,5.9,7.00,6.70,6.70,5.00,5.00,5.00,5.00,46,44,25,4,3,53,7,99,97,54,21
GLAXOSMITHKLINE CAPITAL PLC,GSK,US377373AD71,GB,20180801,Diversified Financials,5.7,4.6,6.4,3.7,5.2,10,10.00,6.40,3.00,2.00,8.5,2.40,10,2.1,1.2,2.7,10.00,3.7,6.80,2.7,4.8,0.9,5.30,0.00,7.60,5.90,0,1.4,9.00,5.00,9.3,5,10.00,2.30,5.80,8.5,2.40,8.20,3.60,4.60,4.60,3.70,3.70,47,45,99,97,1,99,92,79,36,93,85
INTESA SANPAOLO S.P.A,,XS0087869177,GB,20180801,Banks,9.7,6.2,5.6,6.4,5.8,5.6,6.40,10.00,6.50,6.60,6.8,4.70,10,0.8,0.4,0.6,7.50,2.3,2.80,0.7,1.3,0,5.60,0.00,9.10,7.70,0,0.6,7.10,6.60,5.9,0,4.50,9.50,7.00,6.8,9.90,6.30,9.20,3.70,3.70,5.00,5.00,40,44,81,91,1,71,75,48,54,45,22
INVESTEC BANK PLC,,XS1204597758,GB,20180801,Investment Banking & Brokerage,8.9,7,7.3,6.5,7.3,7.3,6.60,10.00,5.90,7.30,7.6,7.00,10,1.1,0.3,0.8,7.60,2.2,2.80,0.7,0.7,0,9.10,0.00,4.60,6.70,0,0.3,9.00,7.90,4.4,0,4.10,7.90,5.00,7.6,8.80,6.10,7.90,4.20,4.20,5.00,5.00,92,93,55,21,1,88,40,99,97,60,25
INDUSTRIAL BANK OF KOREA,,XS1836401197,GB,20180801,Banks,3.7,4.4,0.9,5.2,3.8,0.9,4.70,9.30,3.30,6.40,2.6,5.10,10,0.9,0.4,0.6,4.70,2.3,0.00,0.7,1.2,0,2.90,0.00,5.90,1.80,0,0.7,6.70,3.00,4.8,0,2.30,8.90,4.20,2.6,2.50,7.90,3.40,5.00,5.00,5.00,5.00,18,28,35,74,4,4,25,2,2,21,63
OVERSEA-CHINESE BANKING CORPORATION LIMITED,,XS1810798600,GB,20180801,Banks,5.5,4.9,2.1,4.3,6.5,2.1,7.30,8.20,4.90,4.10,6.7,6.20,8,0.8,0.3,0.7,7.30,2.4,2.70,0.7,1.1,0,10.00,0.00,3.70,8.80,0,0.6,8.50,6.40,5.7,0,2.40,7.60,3.00,6.7,6.70,5.40,5.10,5.00,5.00,5.00,5.00,80,75,31,37,2,72,76,79,49,96,91
CHIBA BANK LTD(THE),,XS1852342234,GB,20180801,Banks,4.5,4.6,3.6,4.7,4.7,3.6,6.20,8.20,3.10,5.40,4.4,5.00,8.3,1.1,0.4,0.6,6.20,2.5,1.70,0.8,1.3,0,7.40,0.00,3.80,4.20,0,0.5,6.10,2.20,3.6,0,2.80,8.40,4.20,4.4,2.60,4.90,0.50,5.00,5.00,5.00,5.00,61,68,33,88,4,22,71,29,26,28,92
BANK OF EAST ASIA LIMITED,,XS1791192344,GB,20180801,Banks,4.2,4.4,0.8,4.3,5.5,0.8,9.30,6.00,4.80,4.30,4.9,6.20,9.3,0.6,0.4,0.6,9.30,2.2,4.50,0.8,1.3,0,9.30,0.00,4.20,6.50,0,0.8,6.10,3.90,3.9,0,3.10,8.10,4.20,4.9,4.70,5.30,3.00,4.20,4.20,5.00,5.00,74,70,8,22,3,32,32,90,97,54,36
Mylan N.V.,MYL,NL0011031208,GB,20180801,Pharmaceuticals,0.8,2.6,1.9,2.1,3.7,6.8,5.30,1.90,2.70,1.60,6,1.70,6.8,2.2,1.1,2.4,5.30,3.8,2.10,3.3,6.3,0,5.70,0.00,7.30,6.00,0,1.3,8.40,4.10,9.1,6.2,8.90,3.10,5.00,6,1.70,8.40,3.10,3.30,3.30,2.50,2.50,12,12,47,33,2,54,51,79,99,41,28
BARRATT DEVELOPMENTS PLC,BDEV,GB0000811801,GB,20180901,Real Estate Development & Diversified Activities,8.6,6.8,6.4,7,6.8,10,6.90,10.00,9.00,4.60,7.6,6.10,10,2.9,2.4,4,7.20,4.6,4.80,2.2,3.7,3.6,9.40,0.00,6.40,8.80,23,3.9,6.10,5.00,6,5,6.70,0.00,1.70,7.6,6.10,6.70,5.80,5.00,5.00,5.00,5.00,56,51,65,33,1,88,40,79,36,93,85
